Time,Source,Destination,Protocol,Length,Frame,Ethernet Src,Ethernet Dest,IP Source,IP Dest,TCP/UDP,Src Port,Dest Port,Label
21.594727,81.131.67.131,x50ab094f.dyn.telefonica.de,UDP,61,761,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.131.67.131,Transmission Control Protocol,80,80,Ftp
21.610352,81.131.67.131,ip3e83634f.speed.planet.nl,UDP,61,861,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.247.65.177,Transmission Control Protocol,6346,41061,Ftp
21.625977,81.131.67.131,p54959419.dip0.t-ipconnect.de,UDP,61,961,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,83.117.6.35,Transmission Control Protocol,2727,2727,Ftp
21.641602,81.131.67.131,ip171.frb32.cust.comxnet.dk,UDP,61,61,01:00:01:00:00:00,01:00:01:00:00:00, 211.28.6.30,81.131.67.131,Transmission Control Protocol,6346,2813,Ftp
21.641602,81.131.67.131,rrcs-24-43-167-12.west.biz.rr.com,UDP,61,161,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,195.130.143.128,Transmission Control Protocol,41061,80,Ftp
21.657227,81.131.67.131,galton0412w-grc-02-70-27-127-185.dsl.bell.ca,TCP,54,254,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,212.194.202.220,User Datagram Protocol       ,1983,2813,Ftp
21.797852,213.19.160.190,81.131.67.131,TCP,1514,31514,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,207.148.176.7,User Datagram Protocol       ,41730,2819,Ftp
21.797852,81.131.67.131,213.19.160.190,TCP,54,454,01:00:01:00:00:00,01:00:01:00:00:00,210.146.64.4,83.53.165.235,User Datagram Protocol       ,41730,41170,Ftp
22.079102,81.131.67.131,s209-89-41-78.ab.hsia.telus.net,TCP,62,562,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,209.89.41.78,User Datagram Protocol       ,41730,6346,Ftp
22.079102,fpigw.ksc.gr.jp,81.131.67.131,TCP,1514,61514,1a:43:20:00:01:00,1a:43:20:00:01:00,139.18.25.33,209.89.41.78,User Datagram Protocol       ,41730,6346,Ftp
22.079102,235.red-83-53-165.dynamicip.rima-tde.net,81.131.67.131,TCP,54,754,1a:43:20:00:01:00,1a:43:20:00:01:00, 211.28.6.30,172.201.93.149,User Datagram Protocol       ,41730,6346,Ftp
