Time,Source,Destination,Protocol,Length,Frame,Ethernet Src,Ethernet Dest,IP Source,IP Dest,TCP/UDP,Src Port,Dest Port,Label
18.001953,dyn96.the4.nas.panafonet.gr,81.131.67.131,TCP,62,162,1a:43:20:00:01:00,1a:43:20:00:01:00,24.11.146.28,80.125.99.71,Transmission Control Protocol,2813,2813,Ftp
18.001953,c-68-34-169-230.hsd1.va.comcast.net,81.131.67.131,TCP,99,299,1a:43:20:00:01:00,1a:43:20:00:01:00,81.131.67.131,82.92.21.6,Transmission Control Protocol,2433,6346,Ftp
18.001953,81.131.67.131,dyn96.the4.nas.panafonet.gr,TCP,54,354,01:00:01:00:00:00,01:00:01:00:00:00,24.11.146.28,139.55.21.35,User Datagram Protocol       ,41730,6346,Ftp
18.028321,2002:5183:4383::5183:4383,6bone.informatik.uni-leipzig.de,FTP,100,5100,01:00:01:00:00:00,01:00:01:00:00:00,00.158.81.150,81.131.67.131,User Datagram Protocol       ,41730,6346,Ftp
18.054688,235.red-83-53-165.dynamicip.rima-tde.net,81.131.67.131,TCP,62,662,1a:43:20:00:01:00,1a:43:20:00:01:00,49.156.74.157,213.19.160.190,User Datagram Protocol       ,41730,6346,Ftp
18.054688,81.131.67.131,235.red-83-53-165.dynamicip.rima-tde.net,TCP,54,754,01:00:01:00:00:00,01:00:01:00:00:00, 82.232.4.28,210.146.64.4,User Datagram Protocol       ,41730,6346,Ftp
18.067383,81.131.67.131,235.red-83-53-165.dynamicip.rima-tde.net,Gnutella,276,8276,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,213.19.160.190,User Datagram Protocol       ,41730,6346,Ftp
18.164063,81.131.67.131,c-68-34-169-230.hsd1.va.comcast.net,TCP,54,954,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,81.131.67.131,Transmission Control Protocol,80,6346,Ftp
18.219727,81.131.67.131,232.69-4-150-nokia-dsl.dynamic.surewest.net,UDP,61,61,01:00:01:00:00:00,01:00:01:00:00:00,210.146.64.4,81.131.67.131,Transmission Control Protocol,80,63346,Ftp
18.219727,81.131.67.131,65.43.223.20,UDP,61,161,01:00:01:00:00:00,01:00:01:00:00:00,81.131.67.131,210.146.64.4,Transmission Control Protocol,2818,2727,Ftp
18.235352,81.131.67.131,adsl-40-67.37-151.wind.it,UDP,61,261,01:00:01:00:00:00,01:00:01:00:00:00, 82.232.4.28,81.131.67.131,Transmission Control Protocol,2727,2818,Ftp
